"","meses","daytemp","mesnum"
"372","Jan",15.590625,1
"8","Jan",16.6479166666667,1
"6","Jan",14.175,1
"11","Jan",16.0854166666667,1
"21","Jan",14.2208333333333,1
"391","Jan",15.615625,1
"33","Feb",15.134375,2
"403","Feb",13.5354166666667,2
"35","Feb",15.3208333333333,2
"400","Feb",13.9989583333333,2
"51","Feb",17.79375,2
"44","Feb",15.5802083333333,2
"448","Mar",15.8385416666667,3
"62","Mar",14.7979166666667,3
"69","Mar",15.684375,3
"451","Mar",14.3666666666667,3
"435","Mar",15.5333333333333,3
"426","Mar",15.2552083333333,3
"460","Apr",16.1270833333333,4
"110","Apr",15.4427083333333,4
"472","Apr",14.93125,4
"100","Apr",15.378125,4
"458","Apr",14.7666666666667,4
"114","Apr",15.2614583333333,4
"494","May",13.8489583333333,5
"505","May",15.3,5
"124","May",15.790625,5
"138","May",14.5885416666667,5
"122","May",16.1135416666667,5
"128","May",16.0125,5
"523","Jun",14.28125,6
"179","Jun",14.9979166666667,6
"530","Jun",14.4864583333333,6
"163","Jun",12.9854166666667,6
"522","Jun",14.265625,6
"525","Jun",15.6385416666667,6
"572","Jul",17.240625,7
"189","Jul",14.5458333333333,7
"576","Jul",15.16875,7
"574","Jul",16.0021276595745,7
"200","Jul",14.8083333333333,7
"577","Jul",14.8395833333333,7
"225","Aug",15.4375,8
"599","Aug",16.6553191489362,8
"213","Aug",16.3739583333333,8
"601","Aug",16.8574468085106,8
"584","Aug",15.4372340425532,8
"600","Aug",16.646875,8
"624","Sep",15.2695652173913,9
"635","Sep",17.6833333333333,9
"621","Sep",17.284375,9
"620","Sep",16.778125,9
"266","Sep",15.878125,9
"249","Sep",13.946875,9
"666","Oct",18.3,10
"300","Oct",16.9947916666667,10
"656","Oct",14.6875,10
"298","Oct",15.509375,10
"659","Oct",16.1888888888889,10
"299","Oct",16.453125,10
"698","Nov",16.5255555555556,11
"307","Nov",12.5322916666667,11
"692","Nov",17.6617021276596,11
"313","Nov",15.659375,11
"699","Nov",16.9765957446808,11
"312","Nov",16.0072916666667,11
"702","Dec",16.2083333333333,12
"703","Dec",15.659375,12
"357","Dec",15.56875,12
"719","Dec",18.140625,12
"726","Dec",13.9479166666667,12
"722","Dec",15.531914893617,12
